word,value
doe        ,2.694841
wear       ,2.686319
woman      ,2.685614
straight   ,2.683249
choic      ,2.679073
save       ,2.663883
mask       ,2.661486
person     ,2.617069
let        ,2.563171
live       ,2.542178
context    ,2.581577
ad         ,2.570722
pathet     ,2.469364
wit        ,2.455725
comment    ,2.453204
latest     ,2.446828
use        ,2.365979
amp        ,2.29394
campaign   ,2.246847
fauci      ,2.245425
song        ,4.67917
hear        ,4.287498
pandem      ,3.344844
graham      ,0.108669
lindsey     ,0.107556
chair       ,0.103243
tomorrow    ,0.102755
advanc      ,0.097645
trum        ,0.097048
refus       ,0.09084
covid    ,7.313813
test     ,1.371351
neg      ,0.845082
peopl    ,0.826336
case     ,0.75929
trump    ,0.609976
death    ,0.530787
refus    ,0.52318
posit    ,0.515249
tomorrow ,0.4989
la  ,4.095696
el  ,2.465772
en  ,2.224653
que ,1.651513
del ,1.22612
lo  ,1.083768
por ,1.018118
se  ,0.898744
para,0.858086
es  ,0.73722
trump    ,2.718974
fauci    ,2.402601
dr       ,2.204252
week     ,1.839777
smart    ,1.835925
pick     ,1.830698
appar    ,1.827621
fight    ,1.807063
elect    ,1.806215
think    ,1.800021
die      ,1.950879
said     ,1.884608
american ,1.873489
shrug    ,1.83458
thousand ,1.806515
everi    ,1.787071
told     ,1.785014
trump    ,1.74702
day      ,1.673458
presid   ,1.65622
tell     ,2.338506
swine    ,2.176526
flu      ,2.159926
ebola    ,2.15941
surviv   ,2.117647
global   ,2.106367
kid      ,2.098026
pandem   ,1.606405
covid    ,0.671625
new      ,0.177042
lockdown        ,2.568074
nabarro         ,1.777988
david           ,1.765995
com             ,1.667134
devastadora     ,1.666097
adotado         ,1.665996
reconhecimento  ,1.665983
pela            ,1.664414
jamai           ,1.661335
uma             ,1.659728
